#
 0,                      ours, 130.76, 168.46, -*    ----          |                   
#
 1,                      lgbm, 316.64, 157.51,    --- *   ------   |                   
 1,                  baseline, 316.83, 159.56,   ---  *  ----------|                   
 1,                        lr, 354.25, 181.42,    ---   *  ------  |                   
