#
 0,                      lgbm,  4.45,  1.75, -  * -------        |                   
#
 1,                        lr,  7.94,  1.06,        --- *--      |                   
#
 2,                      ours,  9.23,  2.19,          ---  * ----|--                 
#
 3,                  baseline, 12.13,  3.75,                 --- *      --------     
