#
 0,                        lr, 170080883383725067468187631616.00, 536973470844198083319312678912.00,     *               |                   
 0,                      ours, 238340769211495262169805619200.00, 495146074265699834250341122048.00,       *      ------ |                   
 0,                      lgbm, 264659976958560349394256789504.00, 429928247773071958798426439680.00,        *   -        |                   
#
 1,                  baseline, 419283904427316432011687624704.00, 577590285604811956249790775296.00,            *   --   |                   
