#
 0,                      lgbm, 134.12, 28.60, *                   |                   
#
 1,                      ours, 1329.34, 1350.42,  - * ---------      |                   
#
 2,                  baseline, 8798.26, 1306.29,                    -|*  -               
#
 3,                        lr, 13803.27, 813.16,                     |           - *--   
