#
 0,                      lgbm,  2.98,  0.10, -* -                |                   
#
 1,                        lr,  4.20,  0.09,                     |  --*----          
#
 2,                      ours,  4.23,  0.20,                     | --  * ---         
#
 3,                  baseline,  4.60,  0.04,                     |           -*--    
