#
 0,                      lgbm,  1.09,  0.03, *                   |                   
#
 1,                      ours,  8.20,  1.14,             --*     |                   
#
 2,                        lr, 11.10,  0.27,                     *                   
#
 3,                  baseline, 19.78,  0.56,                     |                -* 
