Target 0
#
 0,                      lgbm, 44.25, 14.35, *------------------ |                   
#
 1,                        lr, 112.73, 84.20, *-------------------|----------------   
#
 2,                  baseline, 156.99,  8.73, *                   |                   
 2,                      ours, 169.58, 47.52, *                   |                   
Target 1
#
 0,                  baseline, 24.47,  0.65, *                   |                   
#
 1,                      ours, 25.59,  1.59, *                   |                   
#
 2,                      lgbm, 41.72, 16.51, *-------------------|-----------        
#
 3,                        lr, 97.27, 55.80, *-------------------|----------------   
Target 2
#
 0,                      lgbm, 48.38, 35.48, *----------         |                   
#
 1,                        lr, 114.74, 84.96, *-------------------|------------------ 
#
 2,                  baseline, 282.52, 26.71, *                   |                   
#
 3,                      ours, 307.02, 100.97, *                   |                   
Target 3
#
 0,                      lgbm, 762674629148203007698418201001984.00, 40676255313312915901968298278912.00,      *              |                   
#
 1,                      ours, 1589531306696128063194259561381888.00, 592928543039326162736029211033600.00,        --   * --    |                   
#
 2,                  baseline, 1793276756525434719203272427569152.00, 82931480426149154158217554558976.00,              *      |                   
#
 3,                        lr, 4825126369780715817294247365705728.00, 227365911663929817090437670764544.00,                     |                *- 
