Target 0
#
 0,                      lgbm,  5.52,  0.44, *                   |                   
#
 1,                      ours,  9.05,  0.79, -*                  |                   
#
 2,                        lr, 102.78, 17.93,                     |-----   * -----    
#
 3,                  baseline, 112.08, 18.14,                     |   ----    * --    
Target 1
#
 0,                      ours, 42.07, 71.64, *                   |                   
#
 1,                      lgbm, 2582.94, 1033.92,  *-                 |                   
#
 2,                  baseline, 18825.46, 6254.39,         --   *---   |                   
#
 3,                        lr, 44572.58, 8400.48,                     |  ------  *   ---  
