Target 0
#
 0,                      lgbm,  2.51,  0.31, *                   |                   
#
 1,                      ours,  6.53,  1.11,        *-           |                   
#
 2,                        lr, 10.85,  0.48,              --*    |                   
#
 3,                  baseline, 22.36,  0.63,                     |            --*-   
Target 1
#
 0,                      lgbm,  0.60,  0.16, *                   |                   
#
 1,                      ours,  2.10,  0.70,  - *                |                   
#
 2,                        lr,  9.41,  0.50,                  *  |                   
#
 3,                  baseline, 19.77,  1.29,                     |             - * - 
Target 2
#
 0,                      lgbm,  2.86,  1.26, *-                  |                   
#
 1,                      ours, 10.49,  3.70,   -  *--            |                   
#
 2,                        lr, 20.01,  1.69,          -*-        |                   
#
 3,                  baseline, 59.16,  4.53,                     |         --  *--   
